================================================================================
GOOGLE COLAB UNET TRAINING SETUP
================================================================================
✅ GPU Available: Tesla T4
✅ GPU Memory: 15.8 GB

✅ Dataset found: 57195 .h5 files

📊 Sample file analysis: volume_68_slice_118.h5
   Keys: ['image', 'mask']
   Image shape: (240, 240, 4)
   Image dtype: float64
   Mask shape: (240, 240, 3)
   Mask dtype: uint8

================================================================================

🚀 Starting training with parameters:
   Dataset: /content/UNet_Dataset
   Batch size: 16
   Epochs: 50
   Learning rate: 0.0001
   Image size: 256x256
   Train split: 0.8

📁 Loading dataset...
✅ Dataset loaded: 57195 samples
   Training samples: 45756
   Validation samples: 11439
✅ Dataloaders created: 2860 train batches, 715 val batches

🧠 Creating UNet model...
   Device: cuda
   Input channels: 4 (BraTS modalities)
   Output channels: 1 (binary segmentation)
   Total parameters: 7,781,761
   Trainable parameters: 7,781,761

🏋️  Initializing trainer...
   Loss function: Dice + BCE (for extreme class imbalance)
   Optimizer: Adam with weight decay
   Scheduler: ReduceLROnPlateau

================================================================================
STARTING TRAINING
================================================================================

Epoch 1 [Train]: 100% 2860/2860 [11:32<00:00,  4.13it/s, loss=0.1987, dice=0.8556, acc=0.9951]
Epoch 1 [Val]: 100% 715/715 [02:23<00:00,  4.97it/s, loss=0.2621, dice=0.8085, acc=0.9962]
Epoch 2 [Train]: 100% 2860/2860 [11:38<00:00,  4.09it/s, loss=0.0501, dice=0.9266, acc=0.9972]
Epoch 2 [Val]: 100% 715/715 [02:25<00:00,  4.90it/s, loss=0.0982, dice=0.8450, acc=0.9974]
Epoch 3 [Train]: 100% 2860/2860 [11:47<00:00,  4.04it/s, loss=0.0328, dice=0.9467, acc=0.9981]
Epoch 3 [Val]: 100% 715/715 [02:25<00:00,  4.91it/s, loss=0.0865, dice=0.8491, acc=0.9974]
Epoch 4 [Train]: 100% 2860/2860 [11:47<00:00,  4.04it/s, loss=0.0660, dice=0.8828, acc=0.9980]
Epoch 4 [Val]: 100% 715/715 [02:28<00:00,  4.83it/s, loss=0.0801, dice=0.8567, acc=0.9975]
Epoch 5 [Train]: 100% 2860/2860 [11:50<00:00,  4.03it/s, loss=0.0314, dice=0.9455, acc=0.9986]
Epoch 5 [Val]: 100% 715/715 [02:26<00:00,  4.90it/s, loss=0.0642, dice=0.8842, acc=0.9979]
Epoch 6 [Train]: 100% 2860/2860 [11:54<00:00,  4.00it/s, loss=0.0544, dice=0.8969, acc=0.9992]
Epoch 6 [Val]: 100% 715/715 [02:28<00:00,  4.83it/s, loss=0.0760, dice=0.8646, acc=0.9976]
Epoch 7 [Train]: 100% 2860/2860 [12:13<00:00,  3.90it/s, loss=0.0730, dice=0.8620, acc=0.9988]
Epoch 7 [Val]: 100% 715/715 [02:29<00:00,  4.79it/s, loss=0.0688, dice=0.8766, acc=0.9979]
Epoch 8 [Train]: 100% 2860/2860 [12:08<00:00,  3.92it/s, loss=0.0378, dice=0.9382, acc=0.9975]
Epoch 8 [Val]: 100% 715/715 [02:28<00:00,  4.83it/s, loss=0.0823, dice=0.8529, acc=0.9974]
Epoch 9 [Train]: 100% 2860/2860 [12:05<00:00,  3.94it/s, loss=0.0395, dice=0.9294, acc=0.9988]
Epoch 9 [Val]: 100% 715/715 [02:30<00:00,  4.77it/s, loss=0.0752, dice=0.8652, acc=0.9976]
Epoch 10 [Train]: 100% 2860/2860 [12:20<00:00,  3.86it/s, loss=0.0213, dice=0.9625, acc=0.9992]
Epoch 10 [Val]: 100% 715/715 [02:28<00:00,  4.80it/s, loss=0.0756, dice=0.8650, acc=0.9976]
Epoch 11 [Train]: 100% 2860/2860 [12:15<00:00,  3.89it/s, loss=0.0390, dice=0.9299, acc=0.9986]
Epoch 11 [Val]: 100% 715/715 [02:33<00:00,  4.67it/s, loss=0.0636, dice=0.8856, acc=0.9979]
Epoch 12 [Train]: 100% 2860/2860 [12:18<00:00,  3.88it/s, loss=0.0212, dice=0.9604, acc=0.9996]
Epoch 12 [Val]: 100% 715/715 [02:30<00:00,  4.77it/s, loss=0.0615, dice=0.8898, acc=0.9979]
Epoch 13 [Train]: 100% 2860/2860 [12:14<00:00,  3.89it/s, loss=0.0305, dice=0.9457, acc=0.9987]
Epoch 13 [Val]: 100% 715/715 [02:26<00:00,  4.89it/s, loss=0.0569, dice=0.8979, acc=0.9981]
Epoch 14 [Train]: 100% 2860/2860 [11:41<00:00,  4.07it/s, loss=0.0337, dice=0.9453, acc=0.9976]
Epoch 14 [Val]: 100% 715/715 [02:25<00:00,  4.93it/s, loss=0.0557, dice=0.9007, acc=0.9981]
Epoch 15 [Train]: 100% 2860/2860 [11:50<00:00,  4.03it/s, loss=0.0449, dice=0.9201, acc=0.9986]
Epoch 15 [Val]: 100% 715/715 [02:29<00:00,  4.79it/s, loss=0.0512, dice=0.9084, acc=0.9983]
Epoch 16 [Train]: 100% 2860/2860 [11:38<00:00,  4.09it/s, loss=0.0293, dice=0.9464, acc=0.9991]
Epoch 16 [Val]: 100% 715/715 [02:23<00:00,  4.99it/s, loss=0.0580, dice=0.8964, acc=0.9980]
Epoch 17 [Train]: 100% 2860/2860 [11:37<00:00,  4.10it/s, loss=0.0200, dice=0.9630, acc=0.9998]
Epoch 17 [Val]: 100% 715/715 [02:22<00:00,  5.01it/s, loss=0.0552, dice=0.9011, acc=0.9982]
Epoch 18 [Train]: 100% 2860/2860 [11:44<00:00,  4.06it/s, loss=0.0258, dice=0.9547, acc=0.9988]
Epoch 18 [Val]: 100% 715/715 [02:23<00:00,  4.99it/s, loss=0.0545, dice=0.9030, acc=0.9981]
Epoch 19 [Train]: 100% 2860/2860 [11:42<00:00,  4.07it/s, loss=0.0300, dice=0.9487, acc=0.9984]
Epoch 19 [Val]: 100% 715/715 [02:24<00:00,  4.95it/s, loss=0.0486, dice=0.9129, acc=0.9984]
Epoch 20 [Train]:  76% 2180/2860 [09:00<02:19,  4.88it/s, loss=0.0369, dice=0.9326, acc=0.9989]
